1. Campus UTPL,Polideportivo Utpl,Polideportivo Utpl
2. La Urna Divino Ni–o,Av. De Los Paltas - Paraguay,Av. De Los Paltas - Paraguay
3. Puerta de la Ciudad,Av. Universitaria - Av. Cuxibamba,Av. Manuel Agustin Aguirre - Av. Cuxibamba
4. Lauro Guerrero,Lauro Guerrero ,Lauro Guerrero
5. Pio y Venezuela,Av. Pio Jaramillo - Calle Venezuela,Av. Pio Jaramillo - Calle Venezuela
6. Coliseo Ciudad de Loja,Av. Universitaria - Celica,Av. Manuel Agustin Aguirre - Brasil
7. Tebaida Baja,Av. Pio Jaramillo - Av Manuel Bejamin Carrion,Av. Pio Jaramillo - Chile
8. Benjamin Carrion,Av. Salvador Bustamante Celi - Agusto C. Palacios,Av. Salvador Bustamante Celi - Agusto C. Palacios
9. Daniel Alvarez,Av. Manuel Benjamin Carrion - Av. Eloy Alfaro,Av. Manuel Benjamin Carrion - Av. Eloy Alfaro
10. Estadio,Av. Rio  Mara–on - Luordes,Av. Emiliano Ortega - Lourdes
11. La Salle,Av. Orillas del Zamora -  Miguel Riofrio ,Av. Emiliano Ortega - Miguel Riofrio
12. Parque Infantil,Bernardo Valdivieso - Cariamanga,Jose Joaquin de Olmedo
13. Av. Kigman,Av. Kigman - Maximo Agustin Aguerri,Av. Kigman - Av. Gobernacion de Mainas
14. Pradera,Ubicacion (1),Ubicacion (2)
15. Colegio Beatriz Cueva,Ubicacion (1),Ubicacion (2)
16. Zona Militar,Av. 8 de Diciembre - Guayaquil,Ubicacion (2)
17. Terminal Terrestre,Ubicacion (1),Ubicacion (2)
18. Las Pitas,Ubicacion (1),Ubicacion (2)
19. Av. de Los Paltas,Ubicacion (1),Ubicacion (2)
20. Epoca,Ubicacion (1),Ubicacion (2)
21. Operadores,Ubicacion (1),Ubicacion (2)
22. Bomba La Llave,Ubicacion (1),Ubicacion (2)
23. Occidental,Ubicacion (1),Ubicacion (2)
24. EI Bosque,Ubicacion (1),Ubicacion (2)
25. Esteban Godoy,Ubicacion (1),Ubicacion (2)
26. Ciudad Alegria,Ubicacion (1),Ubicacion (2)
27. Canchas Calva & Calva,Ubicacion (1),Ubicacion (2)
28. Av. Pio Jaramillo,Ubicacion (1),Ubicacion (2)
29. Jose A. Eguiguren,Ubicacion (1),Ubicacion (2)
30. Mercadillo,Ubicacion (1),Ubicacion (2)
31. Clinica Nataly,Ubicacion (1),Ubicacion (2)
32. Av. 8 de Diciembre,Ubicacion (1),Ubicacion (2)
33. Sauces Norte,Ubicacion (1),Ubicacion (2)
34. Hipervalle,Av. Orillas del Zamora - Guayaquil,Ubicacion (2)
35. Calasanz,Av. Orillas del Zamora - Av. Isidro Ayora,Ubicacion (2)
36. Solca,Ubicacion (1),Ubicacion (2)
37. La Paz,Ubicacion (1),Ubicacion (2)
38. Tame,Ubicacion (1),"Av, Emiliano Ortega - 24 de Mayo"
39. San Pedro,Ubicacion (1),Ubicacion (2)
40. Bellavista,Argentina - Chile,Ubicacion (2)
41. Rosales,Agel B. Valarezo - Eduardo Kingman,Agel B. Valarezo - Eduardo Kingman
42. Predesur,Ubicacion (1),Ubicacion (2)
43. Yahuarcuna,Av. Gobernacion - ,Ubicacion (2)
44. Zamora Huayco,Ubicacion (1),Ubicacion (2)
45. Entrada Chinqui lanchi,Av. Salvador Bustamante Celi - Via Chinguilanchi,Ubicacion (2)
46. Colegio Eugenio Espejo,Ubicacion (1),Ubicacion (2)
47. Ilelsa,Ubicacion (1),Ubicacion (2)
48. Clodoveo,Ubicacion (1),Ubicacion (2)
49. Entrada a Shushuhuayco,Puebla Bello - Horizonte,Ubicacion (2)
50. Av. Cuxibamba,Ubicacion (1),Ubicacion (2)
